dise_orpha_id	dise_name	link_status	link_type	gene_name	hgnc_id	symbol	entrez_id
99789	Dentin dysplasia type I	Assessed	Disease-causing germline mutation(s) in	dentin sialophosphoprotein	3054	DSPP	1834
99791	Dentin dysplasia type II	Assessed	Disease-causing germline mutation(s) in	dentin sialophosphoprotein	3054	DSPP	1834
576	Mucolipidosis type II	Assessed	Disease-causing germline mutation(s) (loss of function) in	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits	29670	GNPTAB	79158
423461	Mucolipidosis type III alpha/beta	Assessed	Disease-causing germline mutation(s) (loss of function) in	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits	29670	GNPTAB	79158
812	Sialidosis type 1	Assessed	Disease-causing germline mutation(s) in	neuraminidase 1	7758	NEU1	4758
93399	Juvenile sialidosis type 2	Assessed	Disease-causing germline mutation(s) in	neuraminidase 1	7758	NEU1	4758
93400	Congenital sialidosis type 2	Assessed	Disease-causing germline mutation(s) in	neuraminidase 1	7758	NEU1	4758
578	Mucolipidosis type IV	Assessed	Disease-causing germline mutation(s) (loss of function) in	mucolipin 1	13356	MCOLN1	57192
166282	Familial sick sinus syndrome	Assessed	Disease-causing germline mutation(s) in	sodium voltage-gated channel alpha subunit 5	10593	SCN5A	6331
154	Familial isolated dilated cardiomyopathy	Assessed	Disease-causing germline mutation(s) (gain of function) in	sodium voltage-gated channel alpha subunit 5	10593	SCN5A	6331
1344	Atrial standstill	Assessed	Disease-causing germline mutation(s) in	sodium voltage-gated channel alpha subunit 5	10593	SCN5A	6331
871	Familial progressive cardiac conduction defect	Assessed	Disease-causing germline mutation(s) (loss of function) in	sodium voltage-gated channel alpha subunit 5	10593	SCN5A	6331
228140	Idiopathic ventricular fibrillation, non Brugada type	Assessed	Disease-causing germline mutation(s) in	sodium voltage-gated channel alpha subunit 5	10593	SCN5A	6331
130	Brugada syndrome	Assessed	Disease-causing germline mutation(s) in	sodium voltage-gated channel alpha subunit 5	10593	SCN5A	6331
334	Familial atrial fibrillation	Assessed	Disease-causing germline mutation(s) (gain of function) in	sodium voltage-gated channel alpha subunit 5	10593	SCN5A	6331
101016	Romano-Ward syndrome	Assessed	Disease-causing germline mutation(s) (gain of function) in	sodium voltage-gated channel alpha subunit 5	10593	SCN5A	6331
166282	Familial sick sinus syndrome	Assessed	Disease-causing germline mutation(s) in	hyperpolarization activated cyclic nucleotide gated potassium channel 4	16882	HCN4	10021
130	Brugada syndrome	Assessed	Disease-causing germline mutation(s) in	hyperpolarization activated cyclic nucleotide gated potassium channel 4	16882	HCN4	10021
166282	Familial sick sinus syndrome	Assessed	Major susceptibility factor in	myosin heavy chain 6	7576	MYH6	4624
154	Familial isolated dilated cardiomyopathy	Assessed	Disease-causing germline mutation(s) in	myosin heavy chain 6	7576	MYH6	4624
99103	Atrial septal defect, ostium secundum type	Assessed	Disease-causing germline mutation(s) in	myosin heavy chain 6	7576	MYH6	4624
166286	Porokeratotic eccrine ostial and dermal duct nevus	Not yet assessed	Disease-causing somatic mutation(s) in	gap junction protein beta 2	4284	GJB2	2706
477	KID syndrome	Assessed	Disease-causing germline mutation(s) in	gap junction protein beta 2	4284	GJB2	2706
494	Keratoderma hereditarium mutilans	Assessed	Disease-causing germline mutation(s) in	gap junction protein beta 2	4284	GJB2	2706
2202	Palmoplantar keratoderma-deafness syndrome	Assessed	Disease-causing germline mutation(s) in	gap junction protein beta 2	4284	GJB2	2706
2698	Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome	Assessed	Disease-causing germline mutation(s) in	gap junction protein beta 2	4284	GJB2	2706
90635	Autosomal dominant non-syndromic sensorineural deafness type DFNA	Assessed	Disease-causing germline mutation(s) in	gap junction protein beta 2	4284	GJB2	2706
90636	Autosomal recessive non-syndromic sensorineural deafness type DFNB	Assessed	Disease-causing germline mutation(s) in	gap junction protein beta 2	4284	GJB2	2706
461	Recessive X-linked ichthyosis	Assessed	Disease-causing germline mutation(s) in	steroid sulfatase	11425	STS	412
281090	Syndromic X-linked ichthyosis	Not yet assessed	Role in the phenotype of	steroid sulfatase	11425	STS	412
584	Mucopolysaccharidosis type 7	Assessed	Disease-causing germline mutation(s) in	glucuronidase beta	4696	GUSB	2990
95	Friedreich ataxia	Assessed	Disease-causing germline mutation(s) (loss of function) in	frataxin	3951	FXN	2395
586	Cystic fibrosis	Assessed	Disease-causing germline mutation(s) (loss of function) in	cystic fibrosis transmembrane conductance regulator	1884	CFTR	1080
676	Hereditary chronic pancreatitis	Not yet assessed	Candidate gene tested in	cystic fibrosis transmembrane conductance regulator	1884	CFTR	1080
48	Congenital bilateral absence of vas deferens	Assessed	Disease-causing germline mutation(s) in	cystic fibrosis transmembrane conductance regulator	1884	CFTR	1080
399805	Male infertility with azoospermia or oligozoospermia due to single gene mutation	Assessed	Major susceptibility factor in	cystic fibrosis transmembrane conductance regulator	1884	CFTR	1080
60033	Idiopathic bronchiectasis	Not yet assessed	Disease-causing germline mutation(s) in	cystic fibrosis transmembrane conductance regulator	1884	CFTR	1080
586	Cystic fibrosis	Assessed	Modifying germline mutation in	transforming growth factor beta 1	11766	TGFB1	7040
1328	Camurati-Engelmann disease	Assessed	Disease-causing germline mutation(s) in	transforming growth factor beta 1	11766	TGFB1	7040
586	Cystic fibrosis	Assessed	Modifying germline mutation in	dynactin subunit 4	15518	DCTN4	51164
586	Cystic fibrosis	Assessed	Modifying germline mutation in	chloride channel accessory 4	2018	CLCA4	22802
586	Cystic fibrosis	Assessed	Modifying germline mutation in	syntaxin 1A	11433	STX1A	6804
550	MELAS	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded cytochrome c oxidase I	7419	MT-CO1	4512
104	Leber hereditary optic neuropathy	Not yet assessed	Candidate gene tested in	mitochondrially encoded cytochrome c oxidase I	7419	MT-CO1	4512
168609	Mitochondrial non-syndromic sensorineural deafness with susceptibility to aminoglycoside exposure	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded cytochrome c oxidase I	7419	MT-CO1	4512
254905	Isolated cytochrome C oxidase deficiency	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded cytochrome c oxidase I	7419	MT-CO1	4512
90641	Mitochondrial non-syndromic sensorineural deafness	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded cytochrome c oxidase I	7419	MT-CO1	4512
99845	Genetic recurrent myoglobinuria	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded cytochrome c oxidase I	7419	MT-CO1	4512
550	MELAS	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded cytochrome c oxidase II	7421	MT-CO2	4513
254905	Isolated cytochrome C oxidase deficiency	Assessed	Disease-causing germline mutation(s) (loss of function) in	mitochondrially encoded cytochrome c oxidase II	7421	MT-CO2	4513
550	MELAS	Not yet assessed	Candidate gene tested in	mitochondrially encoded cytochrome c oxidase III	7422	MT-CO3	4514
104	Leber hereditary optic neuropathy	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded cytochrome c oxidase III	7422	MT-CO3	4514
254905	Isolated cytochrome C oxidase deficiency	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded cytochrome c oxidase III	7422	MT-CO3	4514
99845	Genetic recurrent myoglobinuria	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded cytochrome c oxidase III	7422	MT-CO3	4514
550	MELAS	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	7455	MT-ND1	4535
104	Leber hereditary optic neuropathy	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	7455	MT-ND1	4535
2609	Isolated complex I deficiency	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	7455	MT-ND1	4535
255210	Maternally-inherited Leigh syndrome	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	7455	MT-ND1	4535
550	MELAS	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	7459	MT-ND4	4538
104	Leber hereditary optic neuropathy	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	7459	MT-ND4	4538
168609	Mitochondrial non-syndromic sensorineural deafness with susceptibility to aminoglycoside exposure	Assessed	Modifying germline mutation in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	7459	MT-ND4	4538
255210	Maternally-inherited Leigh syndrome	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	7459	MT-ND4	4538
99718	Leber plus disease	Not yet assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	7459	MT-ND4	4538
550	MELAS	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	7461	MT-ND5	4540
551	MERRF	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	7461	MT-ND5	4540
104	Leber hereditary optic neuropathy	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	7461	MT-ND5	4540
255210	Maternally-inherited Leigh syndrome	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	7461	MT-ND5	4540
550	MELAS	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	7462	MT-ND6	4541
104	Leber hereditary optic neuropathy	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	7462	MT-ND6	4541
255210	Maternally-inherited Leigh syndrome	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	7462	MT-ND6	4541
99718	Leber plus disease	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	7462	MT-ND6	4541
269	Facioscapulohumeral dystrophy	Not yet assessed	Candidate gene tested in	FSHD region gene 1	3954	FRG1	2483
269	Facioscapulohumeral dystrophy	Assessed	Disease-causing germline mutation(s) in	structural maintenance of chromosomes flexible hinge domain containing 1	29090	SMCHD1	23347
269	Facioscapulohumeral dystrophy	Assessed	Modifying germline mutation in	structural maintenance of chromosomes flexible hinge domain containing 1	29090	SMCHD1	23347
2250	Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome	Assessed	Disease-causing germline mutation(s) in	structural maintenance of chromosomes flexible hinge domain containing 1	29090	SMCHD1	23347
269	Facioscapulohumeral dystrophy	Not yet assessed	Candidate gene tested in	double homeobox 4	50800	DUX4	100288687
480	Kearns-Sayre syndrome	Not yet assessed	Candidate gene tested in	mitochondrially encoded ATP synthase 8	7415	MT-ATP8	4509
254913	Isolated ATP synthase deficiency	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded ATP synthase 8	7415	MT-ATP8	4509
397750	Periodic paralysis with later-onset distal motor neuropathy	Assessed	Disease-causing germline mutation(s) in	mitochondrially encoded ATP synthase 8	7415	MT-ATP8	4509
480	Kearns-Sayre syndrome	Assessed	Disease-causing germline mutation(s) in	ribonucleotide reductase regulatory TP53 inducible subunit M2B	17296	RRM2B	50484
254892	Autosomal dominant progressive external ophthalmoplegia	Assessed	Disease-causing germline mutation(s) in	ribonucleotide reductase regulatory TP53 inducible subunit M2B	17296	RRM2B	50484
255235	Mitochondrial DNA depletion syndrome, encephalomyopathic form with renal tubulopathy	Assessed	Disease-causing germline mutation(s) in	ribonucleotide reductase regulatory TP53 inducible subunit M2B	17296	RRM2B	50484
329336	Adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy	Assessed	Disease-causing germline mutation(s) in	ribonucleotide reductase regulatory TP53 inducible subunit M2B	17296	RRM2B	50484
298	Mitochondrial neurogastrointestinal encephalomyopathy	Assessed	Disease-causing germline mutation(s) in	ribonucleotide reductase regulatory TP53 inducible subunit M2B	17296	RRM2B	50484
597	Central core disease	Assessed	Disease-causing germline mutation(s) in	ryanodine receptor 1	10483	RYR1	6261
169189	Autosomal dominant centronuclear myopathy	Not yet assessed	Candidate gene tested in	ryanodine receptor 1	10483	RYR1	6261
423	Malignant hyperthermia of anesthesia	Assessed	Disease-causing germline mutation(s) in	ryanodine receptor 1	10483	RYR1	6261
178145	Moderate multiminicore disease with hand involvement	Assessed	Disease-causing germline mutation(s) in	ryanodine receptor 1	10483	RYR1	6261
324581	Benign Samaritan congenital myopathy	Assessed	Disease-causing germline mutation(s) in	ryanodine receptor 1	10483	RYR1	6261
424107	Congenital myopathy with myasthenic-like onset	Assessed	Disease-causing germline mutation(s) in	ryanodine receptor 1	10483	RYR1	6261
33108	Lethal multiple pterygium syndrome	Assessed	Disease-causing germline mutation(s) in	ryanodine receptor 1	10483	RYR1	6261
99741	King-Denborough syndrome	Assessed	Disease-causing germline mutation(s) in	ryanodine receptor 1	10483	RYR1	6261
98905	Congenital multicore myopathy with external ophthalmoplegia	Assessed	Disease-causing germline mutation(s) in	ryanodine receptor 1	10483	RYR1	6261
163746	Neurologic Waardenburg-Shah syndrome	Assessed	Disease-causing germline mutation(s) in	SRY-box 10	11190	SOX10	6663
895	Waardenburg syndrome type 2	Assessed	Disease-causing germline mutation(s) in	SRY-box 10	11190	SOX10	6663
897	Waardenburg-Shah syndrome	Assessed	Disease-causing germline mutation(s) in	SRY-box 10	11190	SOX10	6663
478	Kallmann syndrome	Assessed	Disease-causing germline mutation(s) (loss of function) in	SRY-box 10	11190	SOX10	6663
684	Paramyotonia congenita of Von Eulenburg	Assessed	Disease-causing germline mutation(s) in	sodium voltage-gated channel alpha subunit 4	10591	SCN4A	6329
682	Hyperkalemic periodic paralysis	Assessed	Disease-causing germline mutation(s) (gain of function) in	sodium voltage-gated channel alpha subunit 4	10591	SCN4A	6329
681	Hypokalemic periodic paralysis	Assessed	Disease-causing germline mutation(s) in	sodium voltage-gated channel alpha subunit 4	10591	SCN4A	6329
99734	Myotonia fluctuans	Assessed	Disease-causing germline mutation(s) in	sodium voltage-gated channel alpha subunit 4	10591	SCN4A	6329
99735	Myotonia permanens	Assessed	Disease-causing germline mutation(s) in	sodium voltage-gated channel alpha subunit 4	10591	SCN4A	6329
99736	Acetazolamide-responsive myotonia	Assessed	Disease-causing germline mutation(s) in	sodium voltage-gated channel alpha subunit 4	10591	SCN4A	6329
98913	Postsynaptic congenital myasthenic syndromes	Assessed	Disease-causing germline mutation(s) in	sodium voltage-gated channel alpha subunit 4	10591	SCN4A	6329
163931	Acrodermatitis continua suppurativa of Hallopeau	Assessed	Disease-causing germline mutation(s) in	interleukin 36 receptor antagonist	15561	IL36RN	26525
163927	Pustulosis palmaris et plantaris	Assessed	Disease-causing germline mutation(s) in	interleukin 36 receptor antagonist	15561	IL36RN	26525
247353	Generalized pustular psoriasis	Assessed	Disease-causing germline mutation(s) (loss of function) in	interleukin 36 receptor antagonist	15561	IL36RN	26525
404546	DITRA	Assessed	Disease-causing germline mutation(s) (loss of function) in	interleukin 36 receptor antagonist	15561	IL36RN	26525
163931	Acrodermatitis continua suppurativa of Hallopeau	Assessed	Disease-causing germline mutation(s) in	adaptor related protein complex 1 sigma 3 subunit	18971	AP1S3	130340
163927	Pustulosis palmaris et plantaris	Assessed	Disease-causing germline mutation(s) in	adaptor related protein complex 1 sigma 3 subunit	18971	AP1S3	130340
247353	Generalized pustular psoriasis	Assessed	Disease-causing germline mutation(s) in	adaptor related protein complex 1 sigma 3 subunit	18971	AP1S3	130340
273	Steinert myotonic dystrophy	Assessed	Disease-causing germline mutation(s) in	dystrophia myotonica protein kinase	2933	DMPK	1760
163937	X-linked intellectual disability, Najm type	Assessed	Disease-causing germline mutation(s) in	calcium/calmodulin dependent serine protein kinase	1497	CASK	8573
1934	Early infantile epileptic encephalopathy	Assessed	Disease-causing germline mutation(s) (loss of function) in	calcium/calmodulin dependent serine protein kinase	1497	CASK	8573
614	Thomsen and Becker disease	Assessed	Disease-causing germline mutation(s) (loss of function) in	chloride voltage-gated channel 1	2019	CLCN1	1180
163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	Assessed	Disease-causing germline mutation(s) in	histone deacetylase 6	14064	HDAC6	10013
163956	X-linked intellectual disability, Nascimento type	Assessed	Disease-causing germline mutation(s) in	ubiquitin conjugating enzyme E2 A	12472	UBE2A	7319
324	Fabry disease	Assessed	Disease-causing germline mutation(s) in	galactosidase alpha	4296	GLA	2717
163985	Hyperekplexia-epilepsy syndrome	Assessed	Disease-causing germline mutation(s) (loss of function) in	Cdc42 guanine nucleotide exchange factor 9	14561	ARHGEF9	23229
163988	Developmental delay-deafness syndrome, Hildebrand type	Assessed	Disease-causing germline mutation(s) in	POU class 3 homeobox 4	9217	POU3F4	5456
383	X-linked mixed deafness with perilymphatic gusher	Assessed	Disease-causing germline mutation(s) in	POU class 3 homeobox 4	9217	POU3F4	5456
778	Rett syndrome	Assessed	Disease-causing germline mutation(s) in	methyl-CpG binding protein 2	6990	MECP2	4204
1762	Trisomy Xq28	Not yet assessed	Role in the phenotype of	methyl-CpG binding protein 2	6990	MECP2	4204
3077	X-linked intellectual disability-psychosis-macroorchidism syndrome	Assessed	Disease-causing germline mutation(s) in	methyl-CpG binding protein 2	6990	MECP2	4204
777	X-linked non-syndromic intellectual disability	Assessed	Disease-causing germline mutation(s) in	methyl-CpG binding protein 2	6990	MECP2	4204
3095	Atypical Rett syndrome	Assessed	Disease-causing germline mutation(s) in	methyl-CpG binding protein 2	6990	MECP2	4204
209370	Severe neonatal-onset encephalopathy with microcephaly	Assessed	Disease-causing germline mutation(s) (loss of function) in	methyl-CpG binding protein 2	6990	MECP2	4204
307	Juvenile myoclonic epilepsy	Assessed	Disease-causing germline mutation(s) in	calcium voltage-gated channel auxiliary subunit beta 4	1404	CACNB4	785
211067	Episodic ataxia type 5	Assessed	Disease-causing germline mutation(s) in	calcium voltage-gated channel auxiliary subunit beta 4	1404	CACNB4	785
307	Juvenile myoclonic epilepsy	Assessed	Major susceptibility factor in	EF-hand domain containing 1	16406	EFHC1	114327
1941	Juvenile absence epilepsy	Assessed	Major susceptibility factor in	EF-hand domain containing 1	16406	EFHC1	114327
307	Juvenile myoclonic epilepsy	Assessed	Disease-causing germline mutation(s) in	gamma-aminobutyric acid type A receptor alpha1 subunit	4075	GABRA1	2554
64280	Childhood absence epilepsy	Not yet assessed	Candidate gene tested in	gamma-aminobutyric acid type A receptor alpha1 subunit	4075	GABRA1	2554
33069	Dravet syndrome	Assessed	Disease-causing germline mutation(s) in	gamma-aminobutyric acid type A receptor alpha1 subunit	4075	GABRA1	2554
307	Juvenile myoclonic epilepsy	Assessed	Major susceptibility factor in	gamma-aminobutyric acid type A receptor delta subunit	4084	GABRD	2563
1606	1p36 deletion syndrome	Assessed	Role in the phenotype of	gamma-aminobutyric acid type A receptor delta subunit	4084	GABRD	2563
36387	Generalized epilepsy with febrile seizures-plus	Not yet assessed	Candidate gene tested in	gamma-aminobutyric acid type A receptor delta subunit	4084	GABRD	2563
307	Juvenile myoclonic epilepsy	Assessed	Major susceptibility factor in	potassium voltage-gated channel subfamily Q member 3	6297	KCNQ3	3786
1949	Benign familial neonatal epilepsy	Assessed	Disease-causing germline mutation(s) in	potassium voltage-gated channel subfamily Q member 3	6297	KCNQ3	3786
306	Benign familial infantile epilepsy	Assessed	Disease-causing germline mutation(s) in	potassium voltage-gated channel subfamily Q member 3	6297	KCNQ3	3786
307	Juvenile myoclonic epilepsy	Not yet assessed	Candidate gene tested in	Jrk helix-turn-helix protein	6199	JRK	8629
64280	Childhood absence epilepsy	Not yet assessed	Candidate gene tested in	Jrk helix-turn-helix protein	6199	JRK	8629
307	Juvenile myoclonic epilepsy	Assessed	Major susceptibility factor in	chloride voltage-gated channel 2	2020	CLCN2	1181
363540	Leukoencephalopathy with mild cerebellar ataxia and white matter edema	Assessed	Disease-causing germline mutation(s) (loss of function) in	chloride voltage-gated channel 2	2020	CLCN2	1181
892	Von Hippel-Lindau disease	Assessed	Disease-causing germline mutation(s) in	von Hippel-Lindau tumor suppressor	12687	VHL	7428
276624	Sporadic pheochromocytoma	Assessed	Major susceptibility factor in	von Hippel-Lindau tumor suppressor	12687	VHL	7428
238557	Chuvash erythrocytosis	Assessed	Disease-causing germline mutation(s) (loss of function) in	von Hippel-Lindau tumor suppressor	12687	VHL	7428
29072	Hereditary pheochromocytoma-paraganglioma	Assessed	Disease-causing germline mutation(s) in	von Hippel-Lindau tumor suppressor	12687	VHL	7428
164736	Familial advanced sleep-phase syndrome	Assessed	Disease-causing germline mutation(s) in	casein kinase 1 delta	2452	CSNK1D	1453
164736	Familial advanced sleep-phase syndrome	Assessed	Disease-causing germline mutation(s) in	period circadian clock 2	8846	PER2	8864
164736	Familial advanced sleep-phase syndrome	Assessed	Disease-causing germline mutation(s) in	period circadian clock 3	8847	PER3	8863
731	Autosomal recessive polycystic kidney disease	Assessed	Disease-causing germline mutation(s) (loss of function) in	polycystic kidney and hepatic disease 1 (autosomal recessive)	9016	PKHD1	5314
53035	Caroli disease	Assessed	Disease-causing germline mutation(s) in	polycystic kidney and hepatic disease 1 (autosomal recessive)	9016	PKHD1	5314
138	CHARGE syndrome	Not yet assessed	Candidate gene tested in	semaphorin 3E	10727	SEMA3E	9723
138	CHARGE syndrome	Assessed	Disease-causing germline mutation(s) in	chromodomain helicase DNA binding protein 7	20626	CHD7	55636
478	Kallmann syndrome	Assessed	Disease-causing germline mutation(s) in	chromodomain helicase DNA binding protein 7	20626	CHD7	55636
